ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,fecha
SenseTime,20221230,2.25,2.25,2.18,2.22,2.18,0.04,1.83,91203225.0,0.00020210977581,2022-12-30
Tencent,20221230,339.0,343.8,331.4,334.0,335.2,-1.2,-0.36,27211337.0,0.00916926390693,2022-12-30
Lenovo,20221230,6.5,6.5,6.38,6.41,6.39,0.02,0.31,14139750.0,9.107690811e-05,2022-12-30
Kuaishou,20221230,72.5,73.3,70.45,71.05,70.65,0.4,0.57,19282425.0,0.00138151703665,2022-12-30
Xiaomi,20221230,11.04,11.08,10.9,10.94,10.86,0.08,0.74,41295012.0,0.00045342967714000004,2022-12-30
Meituan,20221230,188.4,188.5,174.7,174.7,183.8,-9.1,-4.95,31271880.0,0.005576976568379999,2022-12-30
JD.com,20221230,224.0,225.2,218.4,220.2,218.0,2.2,1.01,4082108.0,0.0009034057101,2022-12-30
Bilibili,20221230,189.6,193.8,186.0,186.8,182.0,4.8,2.64,1862656.0,0.0003526112362,2022-12-30
Baidu,20221230,113.3,113.7,111.1,111.7,110.0,1.7,1.55,3188288.0,0.000358057666,2022-12-30
Trip.com,20221230,273.4,275.0,267.4,273.6,267.6,6.0,2.24,1065652.0,0.00029069600845000004,2022-12-30
Alibaba,20221230,87.3,88.3,85.7,86.25,85.55,0.7,0.82,35928445.0,0.00311283796425,2022-12-30
SenseTime,20221229,2.23,2.29,2.17,2.18,2.29,-0.11,-4.8,97706542.0,0.00021645391959,2022-12-29
Tencent,20221229,323.0,336.0,323.0,335.2,326.2,9.0,2.76,30087456.0,0.00999128767382,2022-12-29
Lenovo,20221229,6.43,6.57,6.36,6.39,6.6,-0.21,-3.18,22958384.0,0.00014739527905,2022-12-29
Kuaishou,20221229,71.75,72.25,70.1,70.65,73.1,-2.45,-3.35,24517831.0,0.0017360302535,2022-12-29
Xiaomi,20221229,10.96,11.1,10.72,10.86,11.22,-0.36,-3.21,70917775.0,0.0007699396919400001,2022-12-29
Meituan,20221229,180.8,185.0,179.9,183.8,184.2,-0.4,-0.22,17062318.0,0.00312078744604,2022-12-29
JD.com,20221229,218.8,220.4,214.4,218.0,230.4,-12.4,-5.38,9216806.0,0.00200829917485,2022-12-29
Bilibili,20221229,178.3,184.9,178.0,182.0,191.4,-9.4,-4.91,3185066.0,0.0005777091090399999,2022-12-29
Baidu,20221229,109.4,110.7,107.6,110.0,113.2,-3.2,-2.83,5702816.0,0.00062379501265,2022-12-29
Trip.com,20221229,273.0,277.8,263.0,267.6,285.0,-17.4,-6.11,1740980.0,0.00046596859865,2022-12-29
Alibaba,20221229,85.4,85.85,84.65,85.55,87.7,-2.15,-2.45,44950446.0,0.0038312413223,2022-12-29
SenseTime,20221228,2.18,2.31,2.18,2.29,2.16,0.13,6.02,171603294.0,0.00039058760344000003,2022-12-28
Tencent,20221228,325.0,329.6,321.8,326.2,320.2,6.0,1.87,24188394.0,0.00789018635765,2022-12-28
Lenovo,20221228,6.43,6.66,6.37,6.6,6.35,0.25,3.94,26845230.0,0.00017621761634,2022-12-28
Kuaishou,20221228,71.15,74.0,71.0,73.1,69.35,3.75,5.41,33092742.0,0.0024137752591499996,2022-12-28
Xiaomi,20221228,11.06,11.36,10.92,11.22,10.8,0.42,3.89,84432613.0,0.0009410815004999999,2022-12-28
Meituan,20221228,186.2,189.6,182.8,184.2,183.2,1.0,0.55,28927593.0,0.005387521977,2022-12-28
JD.com,20221228,229.0,233.6,228.6,230.4,227.8,2.6,1.14,6402105.0,0.00147948722935,2022-12-28
Bilibili,20221228,194.0,195.5,187.0,191.4,186.2,5.2,2.79,2931281.0,0.0005607318962399999,2022-12-28
Baidu,20221228,112.4,114.8,112.0,113.2,112.0,1.2,1.07,3970856.0,0.00045057020540000003,2022-12-28
Trip.com,20221228,288.0,289.6,283.0,285.0,277.2,7.8,2.81,4324463.0,0.0012376904086,2022-12-28
Alibaba,20221228,87.3,89.35,87.3,87.7,86.5,1.2,1.39,55669943.0,0.00491157968405,2022-12-28
SenseTime,20221223,2.16,2.21,2.14,2.16,2.21,-0.05,-2.26,69796696.0,0.00015171997052,2022-12-23
Tencent,20221223,318.0,326.0,317.2,320.2,323.8,-3.6,-1.11,15502697.0,0.00499007521306,2022-12-23
